,Conv,GaphEnhance,Truth,Prediction
1,2,"['brass', 'grissom', 'hunter_baumgartner']","['brass', 'grissom', 'sara']","['grissom', 'hunter_baumgartner', 'sara']"
3,5,"['brass', 'grissom', 'grissom', 'hunter_baumgartner']","['catherine', 'grissom', 'sara', 'warrick']","['catherine', 'grissom', 'grissom', 'warrick']"
5,7,"['agent_rickculpepper', 'brass', 'grissom']","['agentrickculpepper', 'grissom', 'sheriffbrianmobley']","['agent_rickculpepper', 'agent_rickculpepper', 'grissom']"
8,10,"['brass', 'grissom', 'grissom']","['dralbertrobbins', 'grissom', 'nick']","['dr_albertrobbins', 'dr_albertrobbins', 'nick']"
9,11,"['brass', 'grissom']","['dralbertrobbins', 'grissom']","['dr_albertrobbins', 'grissom']"
14,16,"['brass', 'grissom', 'grissom']","['agentrickculpepper', 'grissom', 'sara']","['agent_rickculpepper', 'grissom', 'grissom']"
19,21,"['brass', 'grissom']","['brass', 'grissom']","['brass', 'brass']"
20,22,"['brass', 'grissom', 'sara']","['agentrickculpepper', 'grissom', 'sara']","['agent_rickculpepper', 'agent_rickculpepper', 'sara']"
24,27,"['male_shopper', 'sara']","['agentrickculpepper', 'maleshopper', 'sara']","['male_shopper', 'nick', 'sara']"
26,29,"['agent_rickculpepper', 'brass', 'grissom', 'nick']","['agentrickculpepper', 'grissom', 'maleshopper', 'sara']","['agent_rickculpepper', 'grissom', 'hunter_baumgartner', 'nick']"
27,30,"['brass', 'brass', 'grissom', 'grissom']","['agentrickculpepper', 'brass', 'catherine', 'grissom']","['agent_rickculpepper', 'brass', 'catherine', 'grissom']"
29,32,"['agent_rickculpepper', 'brass', 'grissom']","['agentrickculpepper', 'bradwalden', 'grissom']","['agent_rickculpepper', 'bradwalden', 'grissom']"
30,33,"['brass', 'grissom']","['agentrickculpepper', 'grissom']","['agent_rickculpepper', 'grissom']"
34,39,"['brass', 'grissom', 'grissom', 'nick']","['catherine', 'grissom', 'nick', 'warrick']","['grissom', 'nick', 'warrick', 'warrick']"
35,40,"['catherine', 'grissom']","['catherine', 'grissom']","['brass', 'catherine']"
36,41,"['grissom', 'nick', 'warrick']","['grissom', 'nick', 'sara', 'warrick']","['grissom', 'nick', 'warrick', 'warrick']"
42,47,"['male_shopper', 'sydgoggle']","['grissom', 'nick', 'sydgoggle']","['male_shopper', 'nick', 'sydgoggle']"
